facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id_for_jurisdiction,jurisdiction,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants,land_id
1750,Tenderloin Station,301 Eddy St,San Francisco,94102,0338023,Own,45,Police Department,27500,-122.41290673999998,37.783645648000004,"(37.783645648000004, -122.41290673999998)",6,,548
1310,Police Koban,Powell St & Market St,San Francisco,94103,0341014,Own,45,Police Department,,-122.40847723899998,37.78399555599998,"(37.78399555599998, -122.40847723899998)",6,,159
2,Hamilton Family Residence,260 Golden Gate Ave,San Francisco,94102,0345007,Own,45,Police Department,50000,-122.41497389900002,37.782010680999974,"(37.782010680999974, -122.41497389900002)",6,,332
1182,Next Door Shelter,1001 Polk St,San Francisco,94109,0694004,Own,45,Police Department,37125,-122.42004904499998,37.78611645199999,"(37.78611645199999, -122.42004904499998)",6,,374
1190,Northern Station,1125 Fillmore St,San Francisco,94115,0755013,Own,45,Police Department,18000,-122.432390435,37.78016114100001,"(37.78016114100001, -122.432390435)",5,,193
1229,Park Patrol Station,811 Stanyan St,San Francisco,94117,1263011,Own,45,Police Department,,-122.45518991,37.76775134600001,"(37.76775134600001, -122.45518991)",5,,56
814,Golden Gate Stables,950 36th Ave,San Francisco,94121,1263011,Own,45,Police Department,11800,-122.494414108,37.76923997799997,"(37.76923997799997, -122.494414108)",1,,56
1407,Richmond Station,461 06th Ave,San Francisco,94118,1538007,Own,45,Police Department,13000,-122.464460729,37.78000129200001,"(37.78000129200001, -122.464460729)",1,,812
1231,Park Station,1899 Waller St,San Francisco,94117,1700001,Own,45,Police Department,13700,-122.45522601300001,37.76782399000001,"(37.76782399000001, -122.45522601300001)",5,,803
1740,Taraval Station,2345 24th Ave,San Francisco,94116,2353002,Own,45,Police Department,18070,-122.48146076699999,37.74373379399998,"(37.74373379399998, -122.48146076699999)",4,,177
1826,Vista Francisco Pump,39 Crestline Dr,San Francisco,94112,2844008,Own,45,Police Department,,-122.44675473500001,37.75032176600001,"(37.75032176600001, -122.44675473500001)",8,,668
897,Ingleside Police Station,1 Sergeant John V Young St,San Francisco,94112,3179011,Own,45,Police Department,18500,-122.446251045,37.72477013399998,"(37.72477013399998, -122.446251045)",11,,661
1130,Mission Station,630 Valencia St,San Francisco,94110,3577001,Own,45,Police Department,25000,-122.421969665,37.762680703,"(37.762680703, -122.421969665)",8,,556
3291,Fifth St Homeless Center,695 Bryant St,San Francisco,94107,3777047,Own,45,Police Department,,-122.39980379299999,37.77772102099999,"(37.77772102099999, -122.39980379299999)",6,,373
3161,Old Potrero Police Station,2300 03rd St,San Francisco,94110,4108037,Own,45,Police Department,,-122.38879341199998,37.76016382400002,"(37.76016382400002, -122.38879341199998)",10,,799
616,Forensic Service/Traffic Company,1995 Evans Ave,San Francisco,94124,5231006,Own,45,Police Department,44210,-122.39588663900003,37.74697476099999,"(37.74697476099999, -122.39588663900003)",10,,955
173,Bayview Station,201 Williams Ave,San Francisco,94124,5423A010,Own,45,Police Department,16000,-122.39808655500002,37.72964171799998,"(37.72964171799998, -122.39808655500002)",10,,567
3069,McLaren Park Police Stables,100 John F Shelley Dr,San Francisco,94134,6190066,Own,45,Police Department,,-122.416389315,37.72057656499999,"(37.72057656499999, -122.416389315)",9,,779
1551,SFPD Pistol Range,700 John Muir Dr,San Francisco,94132,7283004,Own,45,Police Department,10000,-122.49967781599997,37.72027732700002,"(37.72027732700002, -122.49967781599997)",7,,809
1308,Police Academy,350 Amber Dr,San Francisco,94124,7521005,Own,45,Police Department,19332,-122.44148284900001,37.744195992000016,"(37.744195992000016, -122.44148284900001)",8,,175
1309,Public Safety Building,1245 03rd St,San Francisco,94158,8719007,Own,45,Police Department,185855,-122.389183108,37.772553913000024,"(37.772553913000024, -122.389183108)",6,,755
190,Hunters Point Shipyard Building 606,606 Manseau St,San Francisco,94124,,Own,45,Police Department,90000,-122.36743644500001,37.720502415,"(37.720502415, -122.36743644500001)",10,,
