City-owned_Facilities_-_Fire_and_Police																
facility_id	common_name	address	city	zip_code	block_lot	owned_leased	dept_id_for_jurisdiction	jurisdiction	gross_sq_ft	longitude	latitude	latitidu1	longitude1	supervisor_district	city_tenants	land_id
1624	Southern District Station	1251 03rd St	San Francisco	94158	8719007	Own	38	Fire Department		-122.3890517	37.77245003	37.77245003	-122.3890517	6		755
738	Fire Station #35 - Fireboat Headquarters	Pier 22 1/2	San Francisco	94105	9900022H	Own	38	Fire Department	2500	-122.3884401	37.79022103	37.79022103	-122.3884401	6		369
453	Central Station	766 Vallejo St	San Francisco	94133	130043	Own	45	Police Department	8000	-122.4098629	37.79864532	37.79864532	-122.4098629	3		163
1750	Tenderloin Station	301 Eddy St	San Francisco	94102	338023	Own	45	Police Department	27500	-122.4129067	37.78364565	37.78364565	-122.4129067	6		548
1310	Police Koban	Powell St & Market St	San Francisco	94103	341014	Own	45	Police Department		-122.4084772	37.78399556	37.78399556	-122.4084772	6		159
2	Hamilton Family Residence	260 Golden Gate Ave	San Francisco	94102	345007	Own	45	Police Department	50000	-122.4149739	37.78201068	37.78201068	-122.4149739	6		332
1182	Next Door Shelter	1001 Polk St	San Francisco	94109	694004	Own	45	Police Department	37125	-122.420049	37.78611645	37.78611645	-122.420049	6		374
1190	Northern Station	1125 Fillmore St	San Francisco	94115	755013	Own	45	Police Department	18000	-122.4323904	37.78016114	37.78016114	-122.4323904	5		193
1229	Park Patrol Station	811 Stanyan St	San Francisco	94117	1263011	Own	45	Police Department		-122.4551899	37.76775135	37.76775135	-122.4551899	5		56
814	Golden Gate Stables	950 36th Ave	San Francisco	94121	1263011	Own	45	Police Department	11800	-122.4944141	37.76923998	37.76923998	-122.4944141	1		56
1407	Richmond Station	461 06th Ave	San Francisco	94118	1538007	Own	45	Police Department	13000	-122.4644607	37.78000129	37.78000129	-122.4644607	1		812
1231	Park Station	1899 Waller St	San Francisco	94117	1700001	Own	45	Police Department	13700	-122.455226	37.76782399	37.76782399	-122.455226	5		803
1740	Taraval Station	2345 24th Ave	San Francisco	94116	2353002	Own	45	Police Department	18070	-122.4814608	37.74373379	37.74373379	-122.4814608	4		177
1826	Vista Francisco Pump	39 Crestline Dr	San Francisco	94112	2844008	Own	45	Police Department		-122.4467547	37.75032177	37.75032177	-122.4467547	8		668
897	Ingleside Police Station	1 Sergeant John V Young St	San Francisco	94112	3179011	Own	45	Police Department	18500	-122.446251	37.72477013	37.72477013	-122.446251	11		661
1130	Mission Station	630 Valencia St	San Francisco	94110	3577001	Own	45	Police Department	25000	-122.4219697	37.7626807	37.7626807	-122.4219697	8		556
3291	Fifth St Homeless Center	695 Bryant St	San Francisco	94107	3777047	Own	45	Police Department		-122.3998038	37.77772102	37.77772102	-122.3998038	6		373
3161	Old Potrero Police Station	2300 03rd St	San Francisco	94110	4108037	Own	45	Police Department		-122.3887934	37.76016382	37.76016382	-122.3887934	10		799
616	Forensic Service/Traffic Company	1995 Evans Ave	San Francisco	94124	5231006	Own	45	Police Department	44210	-122.3958866	37.74697476	37.74697476	-122.3958866	10		955
173	Bayview Station	201 Williams Ave	San Francisco	94124	5423A010	Own	45	Police Department	16000	-122.3980866	37.72964172	37.72964172	-122.3980866	10		567
3069	McLaren Park Police Stables	100 John F Shelley Dr	San Francisco	94134	6190066	Own	45	Police Department		-122.4163893	37.72057657	37.72057656	-122.4163893	9		779
1551	SFPD Pistol Range	700 John Muir Dr	San Francisco	94132	7283004	Own	45	Police Department	10000	-122.4996778	37.72027733	37.72027733	-122.4996778	7		809
1308	Police Academy	350 Amber Dr	San Francisco	94124	7521005	Own	45	Police Department	19332	-122.4414828	37.74419599	37.74419599	-122.4414828	8		175
1309	Public Safety Building	1245 03rd St	San Francisco	94158	8719007	Own	45	Police Department	185855	-122.3891831	37.77255391	37.77255391	-122.3891831	6		755
190	Hunters Point Shipyard Building 606	606 Manseau St	San Francisco	94124		Own	45	Police Department	90000	-122.3674364	37.72050242	37.72050242	-122.3674364	10		
